,res_type,state_ab,zip_code,median
5593,pizza,VA,20164.0,300000.0
5613,pizza,VA,20165.0,115029.0
5617,pizza,VA,20164.0,300000.0
5621,pizza,VA,20164.0,300000.0
5642,pizza,VA,20165.0,115029.0
5649,pizza,VA,20164.0,300000.0
5687,pizza,VA,20171.0,73413.0
5702,pizza,VA,20170.0,300000.0
5706,pizza,VA,20190.0,142406.0
5707,pizza,VA,20170.0,300000.0
5712,pizza,VA,20170.0,300000.0
5713,pizza,VA,20170.0,300000.0
5724,pizza,VA,22031.0,159997.0
5731,pizza,VA,22003.0,82442.0
5739,pizza,VA,22031.0,159997.0
5742,pizza,VA,22003.0,82442.0
5743,pizza,VA,22042.0,300000.0
5744,pizza,VA,22003.0,82442.0
5747,pizza,VA,22042.0,300000.0
5758,pizza,VA,22015.0,138532.0
5761,pizza,VA,22032.0,128472.0
5773,pizza,VA,22030.0,300000.0
5787,pizza,VA,22030.0,300000.0
5830,pizza,VA,22031.0,159997.0
5837,pizza,VA,22180.0,300000.0
5842,pizza,VA,22015.0,138532.0
5854,pizza,VA,22015.0,138532.0
5855,pizza,VA,22015.0,138532.0
5862,pizza,VA,22033.0,300000.0
5871,pizza,VA,22033.0,300000.0
5872,pizza,VA,22030.0,300000.0
5876,pizza,VA,20171.0,73413.0
5892,pizza,VA,22041.0,65204.0
5899,pizza,VA,22041.0,65204.0
5904,pizza,VA,22205.0,172306.0
5913,pizza,VA,22312.0,300000.0
5917,pizza,VA,22044.0,197065.0
5929,pizza,VA,22213.0,140585.0
5930,pizza,VA,22003.0,82442.0
5932,pizza,VA,22046.0,116916.0
5940,pizza,VA,22046.0,116916.0
5942,pizza,VA,22046.0,116916.0
5943,pizza,VA,22041.0,65204.0
5955,pizza,VA,22101.0,300000.0
5965,pizza,VA,22101.0,300000.0
5982,pizza,VA,22102.0,222333.0
5983,pizza,VA,22101.0,300000.0
6001,pizza,VA,22102.0,222333.0
6019,pizza,VA,22310.0,300000.0
6037,pizza,VA,22150.0,88102.0
6051,pizza,VA,22153.0,170583.0
6058,pizza,VA,22182.0,113602.0
6072,pizza,VA,22191.0,300000.0
6073,pizza,VA,22191.0,300000.0
6075,pizza,VA,22192.0,78914.0
6084,pizza,VA,22193.0,125048.0
6087,pizza,VA,22191.0,300000.0
6088,pizza,VA,22193.0,125048.0
6090,pizza,VA,22191.0,300000.0
6109,pizza,VA,22202.0,113550.0
6110,pizza,VA,22041.0,65204.0
6180,pizza,VA,22207.0,300000.0
6191,pizza,VA,22207.0,300000.0
6206,pizza,VA,22041.0,65204.0
6208,pizza,VA,22204.0,300000.0
6209,pizza,VA,22207.0,300000.0
6222,pizza,VA,22305.0,52927.0
6230,pizza,VA,22201.0,300000.0
6240,pizza,VA,22201.0,300000.0
6242,pizza,VA,22201.0,300000.0
6245,pizza,VA,22041.0,65204.0
6248,pizza,VA,22303.0,86214.0
6265,pizza,VA,22303.0,86214.0
6276,pizza,VA,22303.0,86214.0
6285,pizza,VA,22314.0,99420.0
6305,pizza,VA,22303.0,86214.0
6311,pizza,VA,22306.0,58295.0
6315,pizza,VA,22304.0,201141.0
6330,pizza,VA,22304.0,201141.0
