,res_type,state_ab,zip_code,median
1297,burgers,CA,90270.0,21049.0
1298,burgers,CA,90270.0,21049.0
1346,burgers,CA,90036.0,300000.0
1355,burgers,CA,90221.0,43934.0
1361,burgers,CA,90810.0,94556.0
1362,burgers,CA,90746.0,48895.0
1378,burgers,CA,90221.0,43934.0
1390,burgers,CA,90805.0,52217.0
1392,burgers,CA,90712.0,99591.0
1396,burgers,CA,90805.0,52217.0
1401,burgers,CA,90723.0,45286.0
1402,burgers,CA,90745.0,57020.0
1421,burgers,CA,90746.0,48895.0
1424,burgers,CA,90262.0,41431.0
1429,burgers,CA,90805.0,52217.0
1433,burgers,CA,90301.0,32736.0
1440,burgers,CA,90660.0,73063.0
1441,burgers,CA,90240.0,300000.0
1453,burgers,CA,90660.0,73063.0
1461,burgers,CA,90201.0,56738.0
1462,burgers,CA,90242.0,76695.0
1463,burgers,CA,90242.0,76695.0
1465,burgers,CA,90241.0,53192.0
1468,burgers,CA,90241.0,53192.0
1470,burgers,CA,90201.0,56738.0
1481,burgers,CA,90242.0,76695.0
1487,burgers,CA,90670.0,60661.0
1488,burgers,CA,90240.0,300000.0
1494,burgers,CA,90242.0,76695.0
1500,burgers,CA,90242.0,76695.0
1508,burgers,CA,90660.0,73063.0
1511,burgers,CA,90280.0,42954.0
1512,burgers,CA,90241.0,53192.0
1518,burgers,CA,90280.0,42954.0
1521,burgers,CA,90242.0,76695.0
1525,burgers,CA,90706.0,300000.0
1537,burgers,CA,90660.0,73063.0
1558,burgers,CA,90266.0,206024.0
1560,burgers,CA,90266.0,206024.0
1569,burgers,CA,90250.0,40862.0
1582,burgers,CA,90247.0,35604.0
1586,burgers,CA,90248.0,300000.0
1590,burgers,CA,90504.0,300000.0
1591,burgers,CA,90504.0,300000.0
1616,burgers,CA,90746.0,48895.0
1620,burgers,CA,90745.0,57020.0
1625,burgers,CA,90502.0,63800.0
1627,burgers,CA,90501.0,63008.0
1629,burgers,CA,90221.0,43934.0
1636,burgers,CA,90220.0,43250.0
1639,burgers,CA,90260.0,45831.0
1640,burgers,CA,90250.0,40862.0
1644,burgers,CA,90250.0,40862.0
1645,burgers,CA,90250.0,40862.0
1647,burgers,CA,90249.0,52730.0
1655,burgers,CA,90303.0,80697.0
1657,burgers,CA,90260.0,45831.0
1666,burgers,CA,90245.0,86968.0
1672,burgers,CA,90248.0,300000.0
1682,burgers,CA,90260.0,45831.0
1689,burgers,CA,90245.0,86968.0
1692,burgers,CA,90278.0,300000.0
1708,burgers,CA,90266.0,206024.0
1713,burgers,CA,90503.0,300000.0
1724,burgers,CA,90280.0,42954.0
1725,burgers,CA,90280.0,42954.0
1727,burgers,CA,90001.0,30036.0
1730,burgers,CA,90255.0,27107.0
1742,burgers,CA,90001.0,30036.0
1743,burgers,CA,90201.0,56738.0
1745,burgers,CA,90266.0,206024.0
1751,burgers,CA,90250.0,40862.0
1753,burgers,CA,90250.0,40862.0
1755,burgers,CA,90250.0,40862.0
1761,burgers,CA,90503.0,300000.0
1762,burgers,CA,90278.0,300000.0
1768,burgers,CA,90504.0,300000.0
1769,burgers,CA,90254.0,117114.0
1771,burgers,CA,90280.0,42954.0
1772,burgers,CA,90280.0,42954.0
1773,burgers,CA,90280.0,42954.0
1774,burgers,CA,90280.0,42954.0
1776,burgers,CA,90723.0,45286.0
1796,burgers,CA,90266.0,206024.0
1802,burgers,CA,90245.0,86968.0
1818,burgers,CA,90250.0,40862.0
1822,burgers,CA,90270.0,21049.0
1825,burgers,CA,90270.0,21049.0
1832,burgers,CA,90255.0,27107.0
1846,burgers,CA,90501.0,63008.0
1853,burgers,CA,90221.0,43934.0
1855,burgers,CA,90723.0,45286.0
1860,burgers,CA,90405.0,46977.0
1861,burgers,CA,90405.0,46977.0
1867,burgers,CA,90404.0,94342.0
1890,burgers,CA,90405.0,46977.0
1901,burgers,CA,90045.0,107969.0
1911,burgers,CA,90291.0,117987.0
1919,burgers,CA,90045.0,107969.0
1926,burgers,CA,90045.0,107969.0
1934,burgers,CA,90250.0,40862.0
1935,burgers,CA,90304.0,36108.0
1936,burgers,CA,90045.0,107969.0
1955,burgers,CA,90043.0,31219.0
1971,burgers,CA,90249.0,52730.0
1976,burgers,CA,90303.0,80697.0
1986,burgers,CA,90291.0,117987.0
2018,burgers,CA,90066.0,116703.0
2035,burgers,CA,90745.0,57020.0
2040,burgers,CA,90505.0,300000.0
2046,burgers,CA,90505.0,300000.0
2049,burgers,CA,90717.0,140323.0
2061,burgers,CA,90502.0,63800.0
2063,burgers,CA,90501.0,63008.0
2072,burgers,CA,90502.0,63800.0
2074,burgers,CA,90220.0,43250.0
2077,burgers,CA,90501.0,63008.0
2080,burgers,CA,90744.0,31470.0
2082,burgers,CA,90505.0,300000.0
2085,burgers,CA,90744.0,31470.0
2089,burgers,CA,90745.0,57020.0
2091,burgers,CA,90745.0,57020.0
2096,burgers,CA,90710.0,48109.0
2100,burgers,CA,90504.0,300000.0
2105,burgers,CA,90260.0,45831.0
2119,burgers,CA,90249.0,52730.0
2155,burgers,CA,90717.0,140323.0
2161,burgers,CA,90604.0,62108.0
2196,burgers,CA,90650.0,300000.0
2201,burgers,CA,90670.0,60661.0
2203,burgers,CA,90604.0,62108.0
2211,burgers,CA,90605.0,300000.0
2214,burgers,CA,90602.0,48157.0
2216,burgers,CA,90631.0,72539.0
2224,burgers,CA,90650.0,300000.0
2227,burgers,CA,90703.0,96089.0
2234,burgers,CA,90638.0,96936.0
2239,burgers,CA,90638.0,96936.0
2241,burgers,CA,90638.0,96936.0
2246,burgers,CA,90601.0,78658.0
2251,burgers,CA,90650.0,300000.0
2256,burgers,CA,90605.0,300000.0
2269,burgers,CA,90640.0,49628.0
2294,burgers,CA,90680.0,47046.0
2300,burgers,CA,90630.0,300000.0
2321,burgers,CA,92833.0,300000.0
2329,burgers,CA,90680.0,47046.0
2335,burgers,CA,90680.0,47046.0
2337,burgers,CA,90630.0,300000.0
2351,burgers,CA,92833.0,300000.0
2375,burgers,CA,90740.0,65316.0
2376,burgers,CA,90620.0,73636.0
2396,burgers,CA,90740.0,65316.0
2403,burgers,CA,90620.0,73636.0
2430,burgers,CA,92833.0,300000.0
2461,burgers,CA,92833.0,300000.0
2462,burgers,CA,90631.0,72539.0
2467,burgers,CA,92833.0,300000.0
2481,burgers,CA,90606.0,58849.0
2485,burgers,CA,90606.0,58849.0
2487,burgers,CA,90606.0,58849.0
2529,burgers,CA,90706.0,300000.0
2539,burgers,CA,90670.0,60661.0
