,res_type,state_ab,zip_code,median
3067,delis/diners,CA,90807.0,77305.0
3073,delis/diners,CA,90755.0,36506.0
3076,delis/diners,CA,90808.0,300000.0
3088,delis/diners,CA,90802.0,28386.0
3093,delis/diners,CA,90802.0,28386.0
3094,delis/diners,CA,90806.0,37827.0
3099,delis/diners,CA,90807.0,77305.0
3104,delis/diners,CA,90802.0,28386.0
3110,delis/diners,CA,90813.0,24828.0
3117,delis/diners,CA,90813.0,24828.0
3118,delis/diners,CA,90802.0,28386.0
3120,delis/diners,CA,90802.0,28386.0
3121,delis/diners,CA,90813.0,24828.0
3122,delis/diners,CA,90813.0,24828.0
3124,delis/diners,CA,90807.0,77305.0
3130,delis/diners,CA,90740.0,65316.0
3133,delis/diners,CA,90803.0,104705.0
3157,delis/diners,CA,91016.0,70785.0
3164,delis/diners,CA,91107.0,24459.0
3174,delis/diners,CA,91024.0,90293.0
3182,delis/diners,CA,91731.0,55648.0
3189,delis/diners,CA,91775.0,300000.0
3191,delis/diners,CA,91107.0,24459.0
3192,delis/diners,CA,91732.0,57351.0
3200,delis/diners,CA,91103.0,44804.0
3205,delis/diners,CA,91101.0,43316.0
3214,delis/diners,CA,91101.0,43316.0
3224,delis/diners,CA,91803.0,58614.0
3227,delis/diners,CA,91101.0,43316.0
3267,delis/diners,CA,91101.0,43316.0
3268,delis/diners,CA,91030.0,55405.0
3277,delis/diners,CA,91104.0,300000.0
3279,delis/diners,CA,91011.0,300000.0
3281,delis/diners,CA,91106.0,35231.0
3285,delis/diners,CA,91103.0,44804.0
3287,delis/diners,CA,91106.0,35231.0
3291,delis/diners,CA,91106.0,35231.0
3292,delis/diners,CA,91103.0,44804.0
3294,delis/diners,CA,91001.0,300000.0
3315,delis/diners,CA,91007.0,52547.0
3316,delis/diners,CA,91101.0,43316.0
3335,delis/diners,CA,91107.0,24459.0
3338,delis/diners,CA,91776.0,47607.0
3354,delis/diners,CA,91506.0,300000.0
3355,delis/diners,CA,91204.0,55120.0
3359,delis/diners,CA,91502.0,35793.0
3360,delis/diners,CA,91506.0,300000.0
3362,delis/diners,CA,91205.0,39268.0
3364,delis/diners,CA,91502.0,35793.0
3368,delis/diners,CA,91205.0,39268.0
3377,delis/diners,CA,91504.0,63799.0
3379,delis/diners,CA,91203.0,34908.0
3390,delis/diners,CA,91502.0,35793.0
3394,delis/diners,CA,91201.0,70374.0
3400,delis/diners,CA,91205.0,39268.0
3419,delis/diners,CA,90065.0,300000.0
3421,delis/diners,CA,90039.0,300000.0
3423,delis/diners,CA,90065.0,300000.0
3429,delis/diners,CA,91201.0,70374.0
3440,delis/diners,CA,91202.0,113952.0
3444,delis/diners,CA,91202.0,113952.0
3448,delis/diners,CA,90029.0,28797.0
3449,delis/diners,CA,91206.0,300000.0
3452,delis/diners,CA,90027.0,64881.0
3466,delis/diners,CA,91011.0,300000.0
3468,delis/diners,CA,91306.0,300000.0
3472,delis/diners,CA,91364.0,44205.0
3478,delis/diners,CA,91364.0,44205.0
3480,delis/diners,CA,91367.0,72104.0
3486,delis/diners,CA,91324.0,44427.0
3491,delis/diners,CA,91367.0,72104.0
3494,delis/diners,CA,91303.0,88567.0
3500,delis/diners,CA,91324.0,44427.0
3506,delis/diners,CA,91304.0,41995.0
3513,delis/diners,CA,91307.0,89857.0
3514,delis/diners,CA,91302.0,300000.0
3515,delis/diners,CA,90066.0,116703.0
3541,delis/diners,CA,91311.0,90602.0
3545,delis/diners,CA,91324.0,44427.0
3547,delis/diners,CA,91303.0,88567.0
3549,delis/diners,CA,91335.0,59693.0
3550,delis/diners,CA,91367.0,72104.0
3552,delis/diners,CA,91367.0,72104.0
3558,delis/diners,CA,91324.0,44427.0
3559,delis/diners,CA,91325.0,61041.0
3561,delis/diners,CA,91326.0,300000.0
3568,delis/diners,CA,91324.0,44427.0
3574,delis/diners,CA,91311.0,90602.0
3578,delis/diners,CA,91311.0,90602.0
3579,delis/diners,CA,91311.0,90602.0
3580,delis/diners,CA,91326.0,300000.0
3582,delis/diners,CA,91335.0,59693.0
3583,delis/diners,CA,91406.0,39263.0
3587,delis/diners,CA,91325.0,61041.0
