,res_type,state_ab,zip_code,median
933,mex/tex-mex,CA,90230.0,300000.0
935,mex/tex-mex,CA,90046.0,46897.0
939,mex/tex-mex,CA,90046.0,46897.0
941,mex/tex-mex,CA,90046.0,46897.0
949,mex/tex-mex,CA,91604.0,300000.0
954,mex/tex-mex,CA,91604.0,300000.0
955,mex/tex-mex,CA,91604.0,300000.0
958,mex/tex-mex,CA,90046.0,46897.0
973,mex/tex-mex,CA,90304.0,36108.0
977,mex/tex-mex,CA,90047.0,26090.0
984,mex/tex-mex,CA,90048.0,62610.0
985,mex/tex-mex,CA,90048.0,62610.0
990,mex/tex-mex,CA,90036.0,300000.0
995,mex/tex-mex,CA,90025.0,97041.0
1002,mex/tex-mex,CA,90025.0,97041.0
1011,mex/tex-mex,CA,90025.0,97041.0
1017,mex/tex-mex,CA,90024.0,91139.0
1022,mex/tex-mex,CA,90024.0,91139.0
1024,mex/tex-mex,CA,90025.0,97041.0
1036,mex/tex-mex,CA,90024.0,91139.0
1046,mex/tex-mex,CA,90045.0,107969.0
1050,mex/tex-mex,CA,90045.0,107969.0
1051,mex/tex-mex,CA,90230.0,300000.0
1052,mex/tex-mex,CA,90230.0,300000.0
1058,mex/tex-mex,CA,90005.0,25809.0
1064,mex/tex-mex,CA,90010.0,300000.0
1068,mex/tex-mex,CA,90201.0,56738.0
1072,mex/tex-mex,CA,90270.0,21049.0
1074,mex/tex-mex,CA,90201.0,56738.0
1075,mex/tex-mex,CA,90201.0,56738.0
1081,mex/tex-mex,CA,90201.0,56738.0
1087,mex/tex-mex,CA,90255.0,27107.0
1088,mex/tex-mex,CA,90255.0,27107.0
1090,mex/tex-mex,CA,90220.0,43250.0
1091,mex/tex-mex,CA,90222.0,28460.0
1092,mex/tex-mex,CA,90262.0,41431.0
1099,mex/tex-mex,CA,90059.0,12486.0
1111,mex/tex-mex,CA,90262.0,41431.0
1113,mex/tex-mex,CA,90262.0,41431.0
1115,mex/tex-mex,CA,90262.0,41431.0
1116,mex/tex-mex,CA,90280.0,42954.0
1117,mex/tex-mex,CA,90221.0,43934.0
1120,mex/tex-mex,CA,90220.0,43250.0
1121,mex/tex-mex,CA,90044.0,27101.0
1123,mex/tex-mex,CA,90059.0,12486.0
1124,mex/tex-mex,CA,90248.0,300000.0
1128,mex/tex-mex,CA,90247.0,35604.0
1130,mex/tex-mex,CA,90249.0,52730.0
1154,mex/tex-mex,CA,90018.0,37415.0
1163,mex/tex-mex,CA,90033.0,300000.0
1165,mex/tex-mex,CA,90063.0,52980.0
1166,mex/tex-mex,CA,90063.0,52980.0
1172,mex/tex-mex,CA,90032.0,38818.0
1179,mex/tex-mex,CA,90064.0,300000.0
1183,mex/tex-mex,CA,90034.0,300000.0
1199,mex/tex-mex,CA,90230.0,300000.0
1207,mex/tex-mex,CA,90291.0,117987.0
1210,mex/tex-mex,CA,90292.0,94781.0
1211,mex/tex-mex,CA,90291.0,117987.0
1212,mex/tex-mex,CA,90292.0,94781.0
1214,mex/tex-mex,CA,90230.0,300000.0
1216,mex/tex-mex,CA,90045.0,107969.0
1217,mex/tex-mex,CA,90230.0,300000.0
1223,mex/tex-mex,CA,91505.0,300000.0
1224,mex/tex-mex,CA,91602.0,76209.0
1232,mex/tex-mex,CA,91604.0,300000.0
1234,mex/tex-mex,CA,91505.0,300000.0
1257,mex/tex-mex,CA,91423.0,78022.0
1260,mex/tex-mex,CA,90094.0,90712.0
1262,mex/tex-mex,CA,90066.0,116703.0
1267,mex/tex-mex,CA,90230.0,300000.0
1278,mex/tex-mex,CA,90201.0,56738.0
1280,mex/tex-mex,CA,90201.0,56738.0
1286,mex/tex-mex,CA,90270.0,21049.0
1290,mex/tex-mex,CA,90280.0,42954.0
1293,mex/tex-mex,CA,90280.0,42954.0
1301,mex/tex-mex,CA,90201.0,56738.0
1303,mex/tex-mex,CA,90201.0,56738.0
1305,mex/tex-mex,CA,90201.0,56738.0
1308,mex/tex-mex,CA,90270.0,21049.0
1316,mex/tex-mex,CA,91604.0,300000.0
1317,mex/tex-mex,CA,90048.0,62610.0
1330,mex/tex-mex,CA,90210.0,208338.0
1335,mex/tex-mex,CA,90210.0,208338.0
1340,mex/tex-mex,CA,90212.0,89224.0
1356,mex/tex-mex,CA,90746.0,48895.0
1366,mex/tex-mex,CA,90248.0,300000.0
1385,mex/tex-mex,CA,90712.0,99591.0
1404,mex/tex-mex,CA,90805.0,52217.0
1405,mex/tex-mex,CA,90222.0,28460.0
1408,mex/tex-mex,CA,90221.0,43934.0
1414,mex/tex-mex,CA,90220.0,43250.0
1415,mex/tex-mex,CA,90805.0,52217.0
1418,mex/tex-mex,CA,90220.0,43250.0
1419,mex/tex-mex,CA,90221.0,43934.0
1420,mex/tex-mex,CA,90746.0,48895.0
1427,mex/tex-mex,CA,90222.0,28460.0
1428,mex/tex-mex,CA,90746.0,48895.0
1444,mex/tex-mex,CA,90241.0,53192.0
1446,mex/tex-mex,CA,90241.0,53192.0
1457,mex/tex-mex,CA,90241.0,53192.0
1472,mex/tex-mex,CA,90606.0,58849.0
1475,mex/tex-mex,CA,90650.0,300000.0
1477,mex/tex-mex,CA,90241.0,53192.0
1484,mex/tex-mex,CA,90242.0,76695.0
1492,mex/tex-mex,CA,90242.0,76695.0
1493,mex/tex-mex,CA,90670.0,60661.0
1497,mex/tex-mex,CA,90660.0,73063.0
1506,mex/tex-mex,CA,90650.0,300000.0
1513,mex/tex-mex,CA,90241.0,53192.0
1514,mex/tex-mex,CA,90280.0,42954.0
1515,mex/tex-mex,CA,90242.0,76695.0
1516,mex/tex-mex,CA,90242.0,76695.0
1517,mex/tex-mex,CA,90706.0,300000.0
1520,mex/tex-mex,CA,90280.0,42954.0
1522,mex/tex-mex,CA,90242.0,76695.0
1529,mex/tex-mex,CA,90241.0,53192.0
1530,mex/tex-mex,CA,90242.0,76695.0
1531,mex/tex-mex,CA,90706.0,300000.0
1534,mex/tex-mex,CA,90660.0,73063.0
1540,mex/tex-mex,CA,90706.0,300000.0
1542,mex/tex-mex,CA,90650.0,300000.0
1544,mex/tex-mex,CA,90706.0,300000.0
1547,mex/tex-mex,CA,90245.0,86968.0
1549,mex/tex-mex,CA,90266.0,206024.0
1554,mex/tex-mex,CA,90266.0,206024.0
1566,mex/tex-mex,CA,90304.0,36108.0
1573,mex/tex-mex,CA,90250.0,40862.0
1583,mex/tex-mex,CA,90248.0,300000.0
1584,mex/tex-mex,CA,90248.0,300000.0
1589,mex/tex-mex,CA,90248.0,300000.0
1593,mex/tex-mex,CA,90504.0,300000.0
1605,mex/tex-mex,CA,90248.0,300000.0
1610,mex/tex-mex,CA,90249.0,52730.0
1626,mex/tex-mex,CA,90501.0,63008.0
1643,mex/tex-mex,CA,90249.0,52730.0
1656,mex/tex-mex,CA,90247.0,35604.0
1662,mex/tex-mex,CA,90304.0,36108.0
1674,mex/tex-mex,CA,90250.0,40862.0
1675,mex/tex-mex,CA,90249.0,52730.0
1679,mex/tex-mex,CA,90250.0,40862.0
1686,mex/tex-mex,CA,90254.0,117114.0
1687,mex/tex-mex,CA,90503.0,300000.0
1693,mex/tex-mex,CA,90266.0,206024.0
1695,mex/tex-mex,CA,90254.0,117114.0
1698,mex/tex-mex,CA,90266.0,206024.0
1711,mex/tex-mex,CA,90503.0,300000.0
1732,mex/tex-mex,CA,90255.0,27107.0
1734,mex/tex-mex,CA,90280.0,42954.0
1735,mex/tex-mex,CA,90255.0,27107.0
1741,mex/tex-mex,CA,90255.0,27107.0
1746,mex/tex-mex,CA,90250.0,40862.0
1749,mex/tex-mex,CA,90250.0,40862.0
1757,mex/tex-mex,CA,90254.0,117114.0
1759,mex/tex-mex,CA,90260.0,45831.0
1764,mex/tex-mex,CA,90260.0,45831.0
1766,mex/tex-mex,CA,90260.0,45831.0
1767,mex/tex-mex,CA,90249.0,52730.0
1783,mex/tex-mex,CA,90280.0,42954.0
1790,mex/tex-mex,CA,90262.0,41431.0
1793,mex/tex-mex,CA,90280.0,42954.0
1806,mex/tex-mex,CA,90245.0,86968.0
1808,mex/tex-mex,CA,90245.0,86968.0
1809,mex/tex-mex,CA,90245.0,86968.0
1811,mex/tex-mex,CA,90245.0,86968.0
1812,mex/tex-mex,CA,90254.0,117114.0
1813,mex/tex-mex,CA,90278.0,300000.0
1817,mex/tex-mex,CA,90245.0,86968.0
1824,mex/tex-mex,CA,90201.0,56738.0
1831,mex/tex-mex,CA,90201.0,56738.0
1842,mex/tex-mex,CA,90260.0,45831.0
1845,mex/tex-mex,CA,90266.0,206024.0
1850,mex/tex-mex,CA,90280.0,42954.0
1865,mex/tex-mex,CA,90291.0,117987.0
1868,mex/tex-mex,CA,90291.0,117987.0
1874,mex/tex-mex,CA,90292.0,94781.0
1878,mex/tex-mex,CA,90405.0,46977.0
1898,mex/tex-mex,CA,90292.0,94781.0
1900,mex/tex-mex,CA,90405.0,46977.0
1903,mex/tex-mex,CA,90045.0,107969.0
1909,mex/tex-mex,CA,90045.0,107969.0
1910,mex/tex-mex,CA,90045.0,107969.0
1933,mex/tex-mex,CA,90301.0,32736.0
1942,mex/tex-mex,CA,90245.0,86968.0
1944,mex/tex-mex,CA,90304.0,36108.0
1948,mex/tex-mex,CA,90301.0,32736.0
1953,mex/tex-mex,CA,90301.0,32736.0
1954,mex/tex-mex,CA,90302.0,32606.0
1965,mex/tex-mex,CA,90250.0,40862.0
1967,mex/tex-mex,CA,90250.0,40862.0
1968,mex/tex-mex,CA,90303.0,80697.0
1973,mex/tex-mex,CA,90266.0,206024.0
1975,mex/tex-mex,CA,90245.0,86968.0
1977,mex/tex-mex,CA,90303.0,80697.0
1979,mex/tex-mex,CA,90405.0,46977.0
1981,mex/tex-mex,CA,90405.0,46977.0
1982,mex/tex-mex,CA,90405.0,46977.0
1998,mex/tex-mex,CA,90404.0,94342.0
2012,mex/tex-mex,CA,90403.0,156861.0
2020,mex/tex-mex,CA,90292.0,94781.0
2021,mex/tex-mex,CA,90025.0,97041.0
