zip_code,count,median
32210,2,21983
90805,2,52217
10014,2,96567
11229,2,67319
77062,1,53561
90221,1,43934
93534,5,56932
11415,1,82191
90016,1,25753
75252,2,300000
90278,1,300000
32114,3,33511
11213,1,33732
32003,1,300000
10029,1,58119
77071,2,33782
77380,4,300000
91790,1,300000
75069,1,59038
20136,1,134710
91106,3,35231
90301,3,32736
93725,1,32819
90220,4,43250
91702,1,76099
93445,1,48931
37075,3,101195
77099,1,30582
75206,6,81177
32225,1,100253
60645,1,58498
60188,1,300000
90250,2,40862
76014,1,300000
60201,1,69616
91740,2,300000
60126,3,56797
60101,1,50570
60660,2,64803
75070,4,101768
93304,2,56986
60612,1,11398
90022,1,44387
37043,1,48077
77006,1,43092
60160,2,40406
77084,2,300000
10461,1,47243
32304,1,11275
22046,3,116916
75150,6,66697
77389,1,300000
91423,2,78022
75209,3,44734
60515,1,89987
32257,1,300000
90670,1,60661
77339,8,96054
22102,3,222333
75062,3,300000
11106,1,0
75234,2,74707
10466,1,36703
10301,1,0
77083,1,300000
94601,2,40160
22206,1,99406
10469,2,69658
11219,2,27801
60189,1,83140
60137,2,119299
77479,2,67678
75093,6,93560
91502,5,35793
37027,4,121721
94107,2,120979
91326,2,300000
90806,5,37827
94127,1,300000
93727,1,300000
93311,1,91187
90245,5,86968
20164,3,300000
90601,2,78658
90046,2,46897
20171,1,73413
94608,4,20114
90403,1,156861
22207,5,300000
75041,5,37138
90720,3,43461
32073,4,43800
90716,1,96094
32174,1,38699
60015,7,300000
10475,2,41374
92110,1,122111
10308,1,300000
90602,3,48157
60602,1,62317
32246,2,76513
94114,2,300000
60302,1,98137
32256,1,51507
94609,1,79518
93422,1,17700
11372,1,46396
32303,2,39098
10038,2,49704
92804,1,300000
90201,2,56738
91403,1,63169
60618,1,109819
90293,2,71650
75231,3,26723
10016,1,68128
75020,2,300000
60014,4,76573
94117,2,300000
91701,2,34071
77477,6,56852
75001,5,70948
60061,2,51711
94132,6,67378
91103,3,44804
60074,4,300000
7206,1,59689
22041,2,65204
90048,3,62610
91205,4,39268
75208,1,43461
91007,1,52547
93705,3,58859
10040,1,76494
91344,1,300000
90650,2,300000
75007,1,65585
75219,3,126166
11215,2,73722
20120,1,115256
91724,1,62609
77429,3,70037
91343,2,85144
75201,7,74606
94085,1,115034
77450,3,102269
75081,3,83502
60062,2,101106
93433,1,300000
60013,1,300000
90211,1,60080
94123,2,110331
24202,1,51504
22302,1,121631
91030,2,55405
90501,2,63008
94544,1,51352
11369,1,300000
75205,4,215868
22180,5,300000
75074,2,105287
94579,2,60725
75098,1,84934
10024,2,300000
77504,3,78790
7030,1,125553
60646,1,111554
90044,1,27101
90045,12,107969
77005,2,300000
22150,2,88102
90027,1,64881
90620,3,73636
11418,1,71093
10455,1,21900
11238,1,65566
90808,2,300000
60181,3,73947
93704,2,75728
93308,1,35774
60640,4,62188
22033,5,300000
93420,3,63124
60194,2,62292
94070,1,69384
94103,3,17195
93710,8,30873
90505,5,300000
11378,2,49897
10036,1,0
10023,1,160021
91202,2,113952
90745,4,57020
90701,1,61821
90035,1,77492
20169,1,96442
90746,8,48895
37210,2,300000
11230,1,48180
91201,2,70374
75034,8,300000
22003,3,82442
90503,4,300000
20152,1,52723
75204,2,84399
60016,1,65670
90036,1,300000
77346,3,68943
60626,2,42875
90814,1,47193
77382,1,121972
75067,6,300000
94015,1,300000
10019,4,69242
77489,1,47940
37013,1,43894
20147,6,119556
93612,4,46353
90703,2,96089
75287,1,32230
10002,2,91469
75115,3,58616
77070,1,65430
22124,2,120625
75056,5,300000
94606,2,63541
77032,2,51439
22182,2,113602
94578,1,300000
75050,2,34200
37203,2,23571
60004,4,95962
22306,1,58295
11237,2,62611
93449,2,94742
11421,1,93891
60647,6,66598
10803,2,212250
90292,2,94781
91364,2,44205
77079,1,300000
90640,5,49628
91405,3,37333
60025,2,69189
37217,1,27852
90630,6,300000
