zip_code,count,median
90245,3,86968
11385,2,64342
90042,8,49009
10033,4,56347
20164,3,300000
90046,2,46897
20171,4,73413
22207,2,300000
75041,7,37138
32073,9,43800
90716,2,96094
32174,1,38699
75044,2,56935
60015,3,300000
75015,10,34086
10475,3,41374
77085,3,71688
90602,1,48157
60602,1,62317
60513,1,73287
60302,3,98137
32256,1,51507
11372,4,46396
32303,1,39098
10038,6,49704
92804,3,300000
90201,8,56738
91403,1,63169
60618,9,109819
7104,1,22745
75231,7,26723
32301,3,48248
10016,1,68128
60014,6,76573
94117,1,300000
77477,6,56852
37064,1,114508
75224,2,37844
75001,2,70948
11207,4,19694
60706,3,45630
60061,2,51711
91103,1,44804
60074,4,300000
91745,1,57321
77498,3,300000
7206,1,59689
22041,4,65204
90048,4,62610
91205,3,39268
75208,1,43461
91007,2,52547
10040,4,76494
32097,1,70640
20132,2,300000
77019,1,55778
93313,2,46767
90650,14,300000
90023,7,19354
75007,16,65585
75219,6,126166
11215,4,73722
20120,2,115256
77429,1,70037
91343,1,85144
75201,2,74606
77450,4,102269
75081,14,83502
11374,3,80384
60062,2,101106
93433,1,300000
60076,3,103192
22193,3,125048
24202,1,51504
7047,1,300000
22302,1,121631
91030,1,55405
22408,1,69869
90501,6,63008
75205,1,215868
22180,3,300000
75074,6,105287
75098,1,84934
77504,1,78790
60646,3,111554
90044,3,27101
90045,11,107969
77005,1,300000
22150,4,88102
90027,5,64881
90620,10,73636
11418,1,71093
10455,7,21900
11238,2,65566
90808,4,300000
60181,1,73947
93308,5,35774
22033,4,300000
77306,1,39848
93420,1,63124
75077,5,300000
93710,7,30873
90505,7,300000
11378,1,49897
10036,2,0
60546,2,60063
10023,2,160021
75215,2,19549
90745,11,57020
77081,5,21377
90701,2,61821
90035,2,77492
90746,5,48895
37210,3,300000
11230,1,48180
93305,3,52669
91201,1,70374
75034,20,300000
22003,3,82442
90503,7,300000
93292,5,32526
75204,3,84399
60016,6,65670
90036,2,300000
