zip_code,count,median
75201,1,74606
94085,1,115034
77450,2,102269
75081,3,83502
11374,1,80384
60062,2,101106
93433,1,300000
22193,2,125048
94123,1,110331
24202,1,51504
91030,1,55405
90501,1,63008
75205,1,215868
22180,1,300000
75074,1,105287
77504,1,78790
90045,4,107969
37216,1,38760
22150,2,88102
90027,2,64881
90620,1,73636
11418,1,71093
10455,1,21900
90808,1,300000
60181,1,73947
22033,2,300000
93420,1,63124
75077,1,300000
94103,4,17195
93710,2,30873
90505,2,300000
10705,1,28023
91202,1,113952
90745,2,57020
90701,2,61821
90035,1,77492
90746,3,48895
37210,1,300000
91201,1,70374
75034,5,300000
22003,4,82442
90503,1,300000
20152,1,52723
75204,1,84399
60016,2,65670
90036,1,300000
77346,4,68943
60046,2,69791
90814,1,47193
77382,2,121972
75067,2,300000
94015,1,300000
77489,2,47940
37013,2,43894
20147,6,119556
93612,1,46353
75287,1,32230
75116,1,47424
77075,1,41986
77070,1,65430
90255,1,27107
91601,4,40557
75056,3,300000
77032,1,51439
22182,1,113602
37203,5,23571
60004,3,95962
22306,3,58295
77057,1,59601
60647,5,66598
94131,1,94516
91364,2,44205
90640,3,49628
91405,3,37333
60025,1,69189
94709,1,35427
37217,1,27852
90630,4,300000
91307,1,89857
60008,1,78572
60644,1,37632
11206,1,52856
90502,1,63800
91411,1,22542
32216,2,66153
7002,1,42240
77478,4,80183
32082,1,145715
60607,1,125702
60155,1,59028
11103,2,82248
90813,3,24828
60090,1,58788
60630,2,59734
20110,4,72878
11212,3,37854
90713,2,75940
90810,1,94556
20155,2,105372
90041,3,59408
32224,1,300000
75248,1,86387
60154,2,300000
75228,1,32787
75002,1,169040
11209,1,95157
75052,3,104518
93726,2,46592
91776,3,47607
77494,1,141709
75023,1,300000
92683,1,43211
94116,1,60686
90744,2,31470
93720,2,43176
11235,1,46412
91803,1,58614
91316,1,300000
94102,1,21830
49048,1,26735
92104,3,54831
90001,1,30036
75019,1,300000
32117,1,25573
90008,1,70607
75025,1,300000
91335,6,59693
75149,2,43792
90066,2,116703
60040,1,64282
91204,3,55120
60804,2,35830
22202,2,113550
10310,1,38803
11435,1,66568
90604,1,62108
91406,2,39263
91324,4,44427
60163,1,35043
94124,1,92794
90631,2,72539
77304,1,64826
77502,2,34116
77058,1,300000
90026,2,93139
10456,1,17622
60087,1,39088
91732,2,57351
75051,2,46591
90706,3,300000
10304,1,50258
20109,3,50724
75060,1,31748
43950,1,46690
11218,1,44950
90275,2,105522
10550,1,50932
32308,1,42408
90248,1,300000
77345,1,86673
60053,1,300000
90405,1,46977
90033,2,300000
75071,6,82641
77096,2,133447
10468,1,36911
90024,5,91139
90063,2,52980
60031,1,300000
11234,1,100578
20151,2,300000
11104,2,67771
60005,1,83407
90065,2,300000
20170,4,300000
90804,4,39139
75043,2,62805
32063,1,43196
90270,1,21049
32118,3,28511
75075,1,26215
60625,2,65824
77338,4,60475
20165,2,115029
91340,1,66670
90249,2,52730
32068,2,49944
22191,4,300000
90247,3,35604
91764,1,44939
91401,1,54369
11216,1,43209
94133,1,82929
32084,1,60742
60638,1,53244
77034,1,39263
11361,1,0
60641,2,38893
93706,1,18241
11368,1,72674
10021,1,0
91001,2,300000
10704,1,300000
10470,1,52788
60104,1,300000
10463,2,24253
92845,1,300000
90031,1,27902
94014,1,74953
11354,1,57563
93291,1,25640
90815,2,63316
60707,1,300000
75211,4,23286
10065,1,118775
60077,1,60332
91101,1,43316
75006,3,79305
90068,1,98295
75230,1,108288
91505,1,300000
77388,2,109613
22315,2,141414
91203,2,34908
75065,1,77070
32207,2,29766
91311,4,90602
37211,1,300000
60021,1,300000
60639,1,44634
22192,1,78914
94110,2,38568
90260,2,45831
75022,3,125217
90010,1,300000
11102,1,81067
90680,1,47046
75024,2,93054
22015,4,138532
94501,1,43007
90621,2,52358
90034,2,300000
75080,4,62412
91304,1,41995
75040,1,63817
90029,2,28797
37209,1,48481
90254,1,117114
90028,1,83180
37215,2,129747
90404,1,94342
60148,3,58725
