"zip_code","count","median"
"90004",29,37893
"90007",70,38672
"32225",32,100253
"10303",2,300000
"75020",4,300000
"90291",37,117987
"10024",44,300000
"60070",4,300000
"22207",80,300000
"75248",36,86387
"92106",4,300000
"11238",59,65566
"92845",9,300000
"11105",54,65991
"90250",86,40862
"91605",13,26032
"91745",1,57321
"76018",3,68712
"11432",5,49395
"93420",16,63124
"75238",20,34726
"10472",32,29713
"91107",34,24459
"60062",22,101106
"90747",2,66090
"11358",5,74232
"75067",138,300000
"75218",15,55994
"60087",3,39088
"75057",18,100153
"77032",13,51439
"90058",12,21613
"22042",96,300000
"10309",3,68801
"60191",2,64058
"22305",48,52927
"75287",23,32230
"75071",25,82641
"35739",1,36690
"11415",6,82191
"90631",48,72539
"92115",3,28255
"10455",44,21900
"77041",2,63897
"11433",2,47327
"77095",18,41168
"75019",33,300000
"91502",45,35793
"10034",56,49572
"93728",20,23315
"90056",11,38801
"60153",17,29894
"91723",2,64833
"11203",24,54670
"94114",74,300000
"75022",19,125217
"11416",7,50644
"11355",2,37583
"22031",110,159997
"77546",1,76498
"60162",5,52069
"60402",39,52331
"94122",52,109102
"10314",41,108326
"77504",21,78790
"11417",6,58417
"94112",39,83574
"90222",23,28460
"46815",2,63695
"94703",4,64599
"93313",7,46767
"10468",52,36911
"60624",5,37367
"75211",13,23286
"60712",19,56994
"11109",2,131519
"77494",10,141709
"90266",50,206024
"91733",1,33670
"75182",3,124918
"60526",1,39034
"60046",7,69791
"37064",1,114508
"95051",9,108998
"91203",30,34908
"22309",2,65387
"75244",12,151318
"91411",5,22542
"22153",2,170583
"75068",11,42947
"77025",3,58056
"93706",4,18241
"91803",21,58614
"90272",7,118247
"92102",12,30825
"77098",11,172493
"60656",5,64415
"10305",17,91021
"10065",24,118775
"10467",99,25840
"75204",35,84399
"32073",28,43800
"76002",1,88599
"60031",40,300000
"37211",15,300000
"60104",9,300000
"60714",69,76515
"90011",29,25700
"75201",67,74606
"75007",57,65585
"94108",21,56013
"90292",42,94781
"60067",16,300000
"60613",33,117215
"94579",2,60725
"32303",6,39098
"10475",52,41374
"37207",5,22611
"94546",3,300000
"77375",5,136637
"75032",3,0
"77401",10,300000
"22046",62,116916
"90731",3,55848
"11103",48,82248
"77070",9,65430
"94501",36,43007
"91364",10,44205
"90650",83,300000
"11375",74,103910
"91302",2,300000
"90035",33,77492
"10465",20,300000
"75224",6,37844
"10708",1,188499
"60050",3,300000
"77306",2,39848
"22191",18,300000
"75050",21,34200
"60645",11,58498
"11214",16,45784
"91724",2,62609
"91770",20,66462
"91206",16,300000
"37027",31,121721
"60030",3,91463
"60176",10,62081
"60004",44,95962
"90505",56,300000
"77506",4,27462
"77071",10,33782
"10454",29,38649
"22150",146,88102
"60035",19,141411
"91103",23,44804
"60639",26,44634
"77338",45,60475
"92841",3,67012
"10710",7,65355
"10033",43,56347
"60093",4,218355
"60015",41,300000
"22039",6,300000
"90023",59,19354
"77459",5,139452
"77501",1,45319
"91011",6,300000
"32082",2,145715
"22032",32,128472
"90248",59,300000
"92833",20,300000
"90712",74,99591
"37040",11,24986
"32097",5,70640
"77058",1,300000
"60659",22,72810
"11228",5,68875
"77502",14,34116
"20152",20,52723
"37620",14,38962
"10021",61,0
"90044",47,27101
"37212",18,0
"91801",29,104023
"32174",5,38699
"77034",12,39263
"11218",32,44950
"91352",11,76038
"93702",11,24284
"91325",17,61041
"91741",9,300000
"10023",21,160021
"91740",4,300000
"77077",1,67793
"22101",24,300000
"90041",61,59408
"11206",42,52856
"75205",56,215868
"90048",56,62610
"75212",9,27521
"94103",99,17195
"90210",12,208338
"90015",35,36291
"11357",1,76246
"94116",12,60686
"90046",54,46897
"75077",30,300000
"22026",2,85342
"75209",27,44734
"91731",4,55648
"75087",10,300000
"77083",4,300000
"75080",61,62412
"77036",8,20792
"32224",10,300000
"11233",18,59463
"90630",52,300000
"91326",6,300000
"60018",72,55845
"94070",1,69384
"91602",11,76209
"75063",59,73694
"32233",2,32107
"60060",13,77622
"94015",12,300000
"94709",12,35427
"75093",49,93560
"22312",66,300000
"60053",20,300000
"32117",15,25573
"60623",2,33943
"75237",7,17957
"10801",4,76469
"90716",19,96094
"60045",1,162335
"60626",19,42875
"90220",75,43250
"90094",10,90712
"90262",48,41431
"77017",7,47364
"11219",26,27801
"94131",7,94516
"10016",46,68128
"92103",13,88389
"10306",4,86687
"75231",56,26723
"60641",16,38893
"11208",14,52769
"91356",10,44404
"91701",3,34071
"91016",6,70785
"21047",2,96428
"94107",31,120979
"10040",57,76494
"22124",8,120625
"22302",18,121631
"94608",18,20114
"60616",11,44154
"22304",104,201141
"22204",100,300000
"11239",2,20205
"77030",3,102799
"90245",67,86968
"91761",2,43681
"60304",6,88319
"90275",5,105522
