zip_code,count,median
90815,2,63316
60050,1,300000
90012,2,15956
75211,1,23286
60077,1,60332
91101,1,43316
75006,10,79305
56308,1,40667
93309,5,42479
75230,1,108288
32217,1,16659
91505,1,300000
77388,2,109613
77041,2,63897
77373,1,58378
94108,1,56013
91203,1,34908
75065,1,77070
37211,1,300000
60021,1,300000
60639,2,44634
22192,2,78914
94110,2,38568
60007,3,48822
10472,1,29713
90260,4,45831
90017,2,58114
90056,1,38801
75022,1,125217
90010,1,300000
11102,1,81067
90680,3,47046
90057,2,22191
75024,4,93054
60653,1,58519
22015,1,138532
94501,1,43007
37218,1,14210
90034,4,300000
75080,7,62412
10004,2,0
75040,7,63817
60610,1,97367
90029,4,28797
37209,3,48481
90254,1,117114
90006,5,28469
90028,5,83180
37215,1,129747
37115,1,28638
90404,1,94342
60148,2,58725
10302,1,74564
