zip_code_h,count,median
22206,7,99406
20165,14,115029
11203,10,54670
60018,41,55845
90006,15,28469
93711,15,83707
32304,2,11275
22066,1,214767
77057,9,59601
60172,5,97129
75233,1,22560
77301,28,56057
37212,10,0
60060,13,77622
60162,4,52069
91780,2,19836
95403,1,51561
93277,45,87021
92102,11,30825
75006,48,79305
10033,10,56347
11206,20,52856
77019,4,55778
75028,36,75687
91304,4,41995
22153,1,170583
37115,6,28638
90019,22,42865
32063,3,43196
91107,20,24459
37066,14,57335
24201,18,25864
91504,6,63799
22205,5,172306
60101,5,50570
60647,42,66598
75093,42,93560
10710,3,65355
91203,11,34908
90272,5,118247
77039,1,47473
22315,15,141414
91776,16,47607
92104,12,54831
94115,17,141923
91732,3,57351
91367,11,72104
10305,6,91021
75063,44,73694
10451,16,13246
11710,1,108348
93312,32,68372
75210,2,20605
91401,7,54369
94089,2,90728
90270,14,21049
11420,3,45629
22303,10,86214
92107,1,92153
90023,22,19354
91702,7,76099
95051,5,108998
75243,42,0
11354,12,57563
92843,2,36354
94014,11,74953
11367,3,60024
90061,13,44268
11379,6,57353
75206,47,81177
60302,10,98137
75201,29,74606
75071,25,82641
93536,9,57343
75231,29,26723
37042,7,52917
60623,2,33943
75040,42,63817
60714,30,76515
24202,4,51504
75180,6,55512
77081,12,21377
90755,12,36506
90012,13,15956
94601,22,40160
93307,3,18277
10455,14,21900
75042,20,24891
90803,30,104705
20152,9,52723
10472,9,29713
92115,3,28255
32311,2,38546
75060,17,31748
94619,2,144163
75041,28,37138
75075,38,26215
91733,1,33670
60639,16,44634
22408,1,69869
91303,13,88567
93291,20,25640
91405,16,37333
94102,18,21830
10475,15,41374
11375,24,103910
32128,1,83574
75223,2,35556
77459,5,139452
91101,24,43316
75043,29,62805
32256,5,51507
90723,20,45286
94108,10,56013
10470,2,52788
77357,1,57057
93305,12,52669
20176,2,38960
93309,37,42479
11421,2,93891
75007,38,65585
90716,10,96094
21047,1,96428
10463,19,24253
93313,6,46767
77056,10,45189
10302,3,74564
75248,20,86387
22302,5,121631
75209,15,44734
91423,14,78022
11361,1,0
91325,12,61041
10039,2,33393
93720,29,43176
90059,11,12486
7208,4,48002
90024,38,91139
90022,24,44387
11419,3,41819
22182,14,113602
11106,20,0
90301,21,32736
77099,14,30582
91601,13,40557
91016,6,70785
75149,14,43792
91731,3,55648
60304,2,88319
75069,3,59038
90220,33,43250
91803,18,58614
60202,6,80386
90254,17,117114
37217,13,27852
32217,7,16659
60659,18,72810
94086,1,112812
90249,26,52730
90280,43,42954
11232,10,47512
10458,14,45215
10803,5,212250
90606,18,58849
75237,6,17957
94110,64,38568
94702,4,46329
94085,7,115034
93722,13,53793
60612,11,11398
32073,28,43800
90804,21,39139
10035,2,25408
11208,8,52769
75203,4,28055
77085,4,71688
90042,31,49009
90502,15,63800
10460,6,14119
77382,10,121972
77388,16,109613
77035,9,71137
11228,5,68875
90266,26,206024
10040,14,76494
60630,5,59734
90031,18,27902
10032,11,17598
90291,20,117987
60644,13,37632
10065,9,118775
11226,20,32427
94063,2,43771
90710,8,48109
93311,8,91187
96734,1,105723
75220,15,39393
60706,8,45630
77032,13,51439
75146,2,52072
11219,12,27801
94608,10,20114
11215,19,73722
75050,11,34200
20136,5,134710
37215,14,129747
75044,13,56935
11355,1,37583
94544,1,51352
90403,13,156861
20120,4,115256
10026,9,25997
91402,22,42001
94123,22,110331
60642,14,74140
20169,6,96442
10128,10,129437
90044,18,27101
90747,1,66090
77036,8,20792
91502,25,35793
37216,5,38760
90304,15,36108
93726,22,46592
90810,14,94556
60515,4,89987
77506,3,27462
20191,6,101584
10457,12,19175
90631,35,72539
60646,10,111554
22304,22,201141
91024,2,90293
20190,25,142406
11220,11,38931
77547,1,44231
60046,7,69791
60160,17,40406
90045,63,107969
91701,3,34071
77062,1,53561
10016,10,68128
90063,16,52980
90701,15,61821
77096,18,133447
93535,6,38578
60525,1,56695
92101,27,69051
75224,5,37844
10021,18,0
77007,4,86219
11234,15,100578
90713,17,75940
77478,23,80183
10801,4,76469
75150,32,66697
60526,1,39034
60004,25,95962
90640,41,49628
22314,38,99420
90717,15,140323
60056,31,131178
90501,27,63008
93725,2,32819
22152,2,147960
93611,19,89265
91007,8,52547
75094,1,116815
11374,7,80384
90017,11,58114
11416,4,50644
90027,23,64881
75219,21,126166
32207,8,29766
90043,15,31219
49048,1,26735
94611,6,62784
32244,12,37446
75068,11,42947
75074,32,105287
11418,4,71093
11358,5,74232
93445,2,48931
75002,23,169040
32118,13,28511
91324,40,44427
90744,19,31470
90222,9,28460
10306,4,86687
77304,26,64826
22041,24,65204
77373,5,58378
90008,16,70607
92801,13,47315
90221,16,43934
60048,4,36002
93306,21,59094
92821,2,64980
60131,4,36424
7022,1,27213
32277,2,42273
77385,12,90121
10001,11,40262
91723,2,64833
94131,5,94516
32225,21,100253
91343,9,85144
92113,10,30148
75039,18,0
60640,17,62188
60622,31,65457
90035,13,77492
37167,11,79894
10474,2,25806
90293,5,71650
60656,4,64415
93705,3,58859
91307,7,89857
10036,16,0
10027,15,128764
32084,4,60742
60638,2,53244
90026,18,93139
22305,8,52927
75024,26,93054
94610,2,195953
77546,1,76498
37027,31,121721
90057,8,22191
77017,4,47364
93704,5,75728
32301,16,48248
92841,3,67012
11224,4,44938
76002,1,88599
93706,4,18241
