zip_code,burger_count,median,hotdog_count,mex_count,pizza_count,deli_count
11214,1.0,45784,0,0,0,0
92833,5.0,300000,0,0,0,0
90606,3.0,58849,0,0,0,0
60191,1.0,64058,0,0,0,0
90660,6.0,73063,0,0,0,0
77004,1.0,20333,0,0,0,0
10452,3.0,29544,0,0,0,0
11236,2.0,73363,0,0,0,0
22304,2.0,201141,0,0,0,0
60035,1.0,141411,0,0,0,0
90039,1.0,300000,0,0,0,0
90302,4.0,32606,0,0,0,0
11105,2.0,65991,0,0,0,0
75042,2.0,24891,0,0,0,0
11211,3.0,87129,0,0,0,0
10451,4.0,13246,0,0,0,0
94112,1.0,83574,0,0,0,0
90062,3.0,38509,0,0,0,0
75010,1.0,82207,0,0,0,0
91754,1.0,60854,0,0,0,0
11233,1.0,59463,0,0,0,0
60018,8.0,55845,0,0,0,0
60659,1.0,72810,0,0,0,0
60002,1.0,70658,0,0,0,0
20190,3.0,142406,0,0,0,0
75214,4.0,64156,0,0,0,0
7201,4.0,42072,0,0,0,0
90025,7.0,97041,0,0,0,0
22204,2.0,300000,0,0,0,0
91770,2.0,66462,0,0,0,0
10028,1.0,35461,0,0,0,0
91206,2.0,300000,0,0,0,0
10001,1.0,40262,0,0,0,0
22201,2.0,300000,0,0,0,0
22307,1.0,124984,0,0,0,0
10314,2.0,108326,0,0,0,0
60056,3.0,131178,0,0,0,0
10034,2.0,49572,0,0,0,0
22044,3.0,197065,0,0,0,0
75243,5.0,0,0,0,0,0
32244,1.0,37446,0,0,0,0
11432,1.0,49395,0,0,0,0
90717,3.0,140323,0,0,0,0
92102,1.0,30825,0,0,0,0
11203,3.0,54670,0,0,0,0
32205,2.0,300000,0,0,0,0
60085,4.0,46446,0,0,0,0
90059,1.0,12486,0,0,0,0
93703,4.0,21914,0,0,0,0
90266,5.0,206024,0,0,0,0
10032,2.0,17598,0,0,0,0
11222,2.0,63790,0,0,0,0
60605,1.0,15307,0,0,0,0
91605,1.0,26032,0,0,0,0
10009,1.0,23603,0,0,0,0
93312,4.0,68372,0,0,0,0
32128,1.0,83574,0,0,0,0
90015,1.0,36291,0,0,0,0
93711,1.0,83707,0,0,0,0
60073,2.0,43465,0,0,0,0
90605,2.0,300000,0,0,0,0
90731,1.0,55848,0,0,0,0
91107,2.0,24459,0,0,0,0
91604,2.0,300000,0,0,0,0
32210,2.0,21983,0,0,0,0
90805,7.0,52217,0,0,0,0
10014,1.0,96567,0,0,0,0
11229,1.0,67319,0,0,0,0
93534,2.0,56932,0,0,0,0
90221,4.0,43934,0,0,0,0
90016,5.0,25753,0,0,0,0
10458,1.0,45215,0,0,0,0
10471,2.0,93413,0,0,0,0
90278,2.0,300000,0,0,0,0
32114,5.0,33511,0,0,0,0
20121,2.0,106122,0,0,0,0
90043,5.0,31219,0,0,0,0
11213,1.0,33732,0,0,0,0
32003,3.0,300000,0,0,0,0
77071,1.0,33782,0,0,0,0
10029,5.0,58119,0,0,0,0
32254,2.0,25471,0,0,0,0
77380,1.0,300000,0,0,0,0
91602,1.0,76209,0,0,0,0
60106,2.0,65622,0,0,0,0
60624,1.0,37367,0,0,0,0
32127,4.0,42981,0,0,0,0
90301,3.0,32736,0,0,0,0
90220,2.0,43250,0,0,0,0
10031,2.0,0,0,0,0,0
37075,2.0,101195,0,0,0,0
77099,3.0,30582,0,0,0,0
77045,2.0,50593,0,0,0,0
75206,4.0,81177,0,0,0,0
32225,2.0,100253,0,0,0,0
60645,2.0,58498,0,0,0,0
90250,10.0,40862,0,0,0,0
76014,1.0,300000,0,0,0,0
10453,1.0,24947,0,0,0,0
60660,3.0,64803,0,0,0,0
75070,2.0,101768,0,0,0,0
93304,4.0,56986,0,0,0,0
37620,3.0,38962,0,0,0,0
90241,3.0,53192,0,0,0,0
60612,2.0,11398,0,0,0,0
90022,3.0,44387,0,0,0,0
37043,1.0,48077,0,0,0,0
77006,2.0,43092,0,0,0,0
60160,1.0,40406,0,0,0,0
10461,1.0,47243,0,0,0,0
32304,1.0,11275,0,0,0,0
75150,5.0,66697,0,0,0,0
77389,1.0,300000,0,0,0,0
90670,3.0,60661,0,0,0,0
90303,5.0,80697,0,0,0,0
77339,7.0,96054,0,0,0,0
75062,5.0,300000,0,0,0,0
11106,3.0,0,0,0,0,0
60153,1.0,29894,0,0,0,0
10301,1.0,0,0,0,0,0
22206,1.0,99406,0,0,0,0
37207,1.0,22611,0,0,0,0
10469,1.0,69658,0,0,0,0
92841,1.0,67012,0,0,0,0
92130,1.0,132606,0,0,0,0
77479,1.0,67678,0,0,0,0
75093,1.0,93560,0,0,0,0
91502,1.0,35793,0,0,0,0
37042,2.0,52917,0,0,0,0
37027,5.0,121721,0,0,0,0
94107,3.0,120979,0,0,0,0
90806,3.0,37827,0,0,0,0
94127,1.0,300000,0,0,0,0
93727,1.0,300000,0,0,0,0
11226,2.0,32427,0,0,0,0
93311,1.0,91187,0,0,0,0
90245,5.0,86968,0,0,0,0
11385,4.0,64342,0,0,0,0
90042,5.0,49009,0,0,0,0
10033,1.0,56347,0,0,0,0
20164,3.0,300000,0,0,0,0
90601,1.0,78658,0,0,0,0
90046,3.0,46897,0,0,0,0
90049,1.0,300000,0,0,0,0
90403,1.0,156861,0,0,0,0
22207,2.0,300000,0,0,0,0
75041,5.0,37138,0,0,0,0
32073,3.0,43800,0,0,0,0
75044,1.0,56935,0,0,0,0
60015,1.0,300000,0,0,0,0
10475,3.0,41374,0,0,0,0
92110,1.0,122111,0,0,0,0
90602,1.0,48157,0,0,0,0
94114,2.0,300000,0,0,0,0
11372,2.0,46396,0,0,0,0
32303,1.0,39098,0,0,0,0
92804,1.0,300000,0,0,0,0
90201,9.0,56738,0,0,0,0
60618,4.0,109819,0,0,0,0
75231,2.0,26723,0,0,0,0
32301,2.0,48248,0,0,0,0
10016,1.0,68128,0,0,0,0
75020,1.0,300000,0,0,0,0
60014,3.0,76573,0,0,0,0
94117,1.0,300000,0,0,0,0
77477,3.0,56852,0,0,0,0
75224,2.0,37844,0,0,0,0
75001,2.0,70948,0,0,0,0
11207,4.0,19694,0,0,0,0
60706,1.0,45630,0,0,0,0
91103,1.0,44804,0,0,0,0
22041,1.0,65204,0,0,0,0
90048,2.0,62610,0,0,0,0
91205,3.0,39268,0,0,0,0
10040,1.0,76494,0,0,0,0
77030,2.0,102799,0,0,0,0
60631,1.0,88435,0,0,0,0
93313,2.0,46767,0,0,0,0
