Name,Type,Address,Zip Code
"('Potbelly Sandwich Shop',)",sandwiches,"('15 Exchange Pl',)","('07302',)"
"('Cheese Grille',)",tradamerican,"('188 Allen St',)","('10002',)"
"('Lucky Louie’s',)",chickenshop,"('535 Hudson St',)","('10014',)"
"('Taco Bell',)",mexican,"('58A Fulton Street',)","('10038',)"
"(""Xi'an Famous Foods"",)",chinese,"('45 Bayard St',)","('10013',)"
"(""Sam's Crispy Chicken - Brookfield"",)",chickenshop,"('225 Liberty St',)","('10281',)"
"('CAVA',)",mediterranean,"('30 Montgomery St',)","('07302',)"
"('Roti',)",mediterranean,"('100 Maiden Ln',)","('10038',)"
"('Shake Shack',)",burgers,"('215 Murray St',)","('10282',)"
"('Shake Shack',)",tradamerican,"('1 Old Fulton St',)","('11201',)"
"('Breakroom',)",burgers,"('83 Baxter St',)","('10013',)"
"('Blue Ribbon Fried Chicken - East Village',)",chicken_wings,"('28 East First St',)","('10003',)"
"('The Greek',)",greek,"('452 Washington St',)","('10013',)"
"(""Kiki's"",)",greek,"('130 Division St',)","('10002',)"
"('La Churreria',)",sandwiches,"('284 Mulberry St',)","('10012',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('125 Canal St',)","('10002',)"
"(""Wendy's"",)",hotdogs,"('85 Nassau Street',)","('10038',)"
"('Taqueria Viva Mexico Kitchen Cafe',)",mexican,"('133 Morris St',)","('07302',)"
"('Fields Good Chicken',)",salad,"('101 Maiden Ln',)","('10038',)"
"('Würstbar',)",beerbar,"('516 Jersey Ave',)","('07302',)"
"('Wolfnights - The Gourmet Wrap',)",newamerican,"('99 Rivington St',)","('10002',)"
"('Dos Toros',)",mexican,"('1 State St',)","('10004',)"
"('Saigon Shack',)",vietnamese,"('114 Macdougal St',)","('10012',)"
"('ESSEN',)",delis,"('100 Broad St',)","('10004',)"
"('Cocu',)",chickenshop,"('26 Carmine St',)","('10014',)"
"('Potbelly Sandwich Shop',)",sandwiches,"('101 Maiden Ln',)","('10038',)"
"(""Murray's Mac & Cheese"",)",sandwiches,"('250 Bleecker St',)","('10014',)"
"(""McDonald's"",)",hotdogs,"('325 Grove St',)","('07302',)"
"('Cheeky Sandwiches',)",sandwiches,"('35 Orchard St',)","('10002',)"
"(""375 Chicken 'n Fries"",)",hotdogs,"('124 Ludlow St',)","('10002',)"
"('Pommes Frites',)",belgian,"('128 Macdougal St',)","('10012',)"
"('Xe May Sandwich Shop',)",sandwiches,"('96 Saint Marks Pl',)","('10009',)"
"('Two Hands Seoul Fresh Corn Dogs',)",hotdogs,"('147 Ave A',)","('10009',)"
"('Halal-N-out',)",halal,"('197 Havemeyer St',)","('11211',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('484 3rd Ave',)","('10016',)"
"('Shake Shack',)",burgers,"('20 3rd Ave',)","('10003',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('107 E 14th St',)","('10003',)"
"('Blue Ribbon Fried Chicken - East Village',)",chicken_wings,"('28 East First St',)","('10003',)"
"('Evil Katsu',)",japanese,"('435 East 9th',)","('10009',)"
"('Flip Sigi',)",filipino,"('131 7th Ave S',)","('10014',)"
"('Taco Mahal',)",indpak,"('73 7th Ave S',)","('10014',)"
"('Summer Salt',)",tacos,"('30 East 23rd St',)","('10010',)"
"('Empanada Mama L.E.S',)",latin,"('95 Allen St',)","('10002',)"
"('Two Hands Seoul Fresh Corn Dogs',)",hotdog,"('250 Mott St',)","('10012',)"
"(""Fedoroff's Roast Pork"",)",sandwiches,"('178 N 10th St',)","('11211',)"
"('Banh Mi Saigon',)",vietnamese,"('198 Grand St',)","('10013',)"
"(""Sticky's Finger Joint"",)",chickenshop,"('21 Maiden Ln',)","('10038',)"
"('Souvlaki GR',)",greek,"('116 Stanton St',)","('10002',)"
"('Chick-fil-A',)",hotdogs,"('1000 Avenue Of The Americas',)","('10018',)"
"('Saigon Shack',)",vietnamese,"('114 Macdougal St',)","('10012',)"
"('Los Tacos No. 1',)",tacos,"('136 Church St',)","('10007',)"
"('Wolfnights - The Gourmet Wrap',)",newamerican,"('99 Rivington St',)","('10002',)"
"('Los Tacos No.1',)",tacos,"('75 9th Ave',)","('10011',)"
"(""Paul's Da Burger Joint"",)",burgers,"('131 2nd Ave',)","('10003',)"
"('5ive Spice',)",vietnamese,"('227 Mulberry St',)","('10012',)"
"(""Mamoun's Falafel - East Village Manhattan"",)",mideastern,"('30 St Marks Pl',)","('10003',)"
"(""Ray's Candy Store"",)",desserts,"('113 Avenue A',)","('10009',)"
"('Rowdy Rooster',)",indpak,"('149 1st Ave',)","('10003',)"
"('Breakroom',)",burgers,"('83 Baxter St',)","('10013',)"
"(""Rosie's"",)",mexican,"('29 E 2nd St',)","('10003',)"
"('Essex Taqueria',)",mexican,"('123 Essex St',)","('10002',)"
"('Royale',)",burgers,"('157 Ave C',)","('10009',)"
"('Jollibee',)",hotdogs,"('609 8th Ave',)","('10018',)"
"('La Churreria',)",sandwiches,"('284 Mulberry St',)","('10012',)"
"(""Katz's Delicatessen"",)",delis,"('205 E Houston St',)","('10002',)"
"('Saigon Vietnamese Sandwich Deli',)",sandwiches,"('369 Broome St',)","('10013',)"
"('Holy Cow',)",burgers,"('34 Canal St',)","('10002',)"
"(""Sam's Crispy Chicken - Brookfield"",)",chickenshop,"('225 Liberty St',)","('10281',)"
"(""Murray's Mac & Cheese"",)",sandwiches,"('250 Bleecker St',)","('10014',)"
"('Cheese Grille',)",tradamerican,"('188 Allen St',)","('10002',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('125 Canal St',)","('10002',)"
"('Cocu',)",chickenshop,"('26 Carmine St',)","('10014',)"
"('FRY ALL',)",hotdogs,"('69A Bayard St',)","('10013',)"
"('Pokeworks',)",hawaiian,"('21 E 15th St',)","('10003',)"
"('Brine',)",chickenshop,"('106 8th Ave',)","('10011',)"
"('taïm mediterranean kitchen - West Village',)",falafel,"('222 Waverly Pl',)","('10014',)"
"(""Kiki's"",)",greek,"('130 Division St',)","('10002',)"
"('Five Guys',)",burgers,"('296 Bleecker St',)","('10014',)"
"(""375 Chicken 'n Fries"",)",hotdogs,"('124 Ludlow St',)","('10002',)"
"('Brine',)",chickenshop,"('106 8th Ave',)","('10011',)"
