Name,Type,Address,Zip Code
"('El Cartel',)",mexican,"('5515 Wilshire Blvd',)","('90036',)"
"('Twozone Chicken',)",chickenshop,"('3516 W 8th St',)","('90005',)"
"('Burger Factory',)",burgers,"('5802 Santa Monica Blvd',)","('90038',)"
"(""Boo's Philly Cheesesteaks - Silverlake"",)",cheesesteaks,"('4501 Fountain Ave',)","('90029',)"
"(""Dino's Chicken and Burgers"",)",burgers,"('2575 W Pico Blvd',)","('90006',)"
"('Gokobol',)",asianfusion,"('4220 Beverly Blvd',)","('90004',)"
"('Burger Lounge',)",burgers,"('217 N Larchmont Blvd',)","('90004',)"
"('Wienerschnitzel',)",hotdog,"('3619 W Olympic Blvd',)","('90019',)"
"('Dogs Chicks',)",chicken_wings,"('1551 W 7th St',)","('90017',)"
"('Taco Bell',)",hotdogs,"('103 S Rampart Blvd',)","('90057',)"
"('Jack in the Box',)",burgers,"('1243 N Highland Ave',)","('90038',)"
"('Fatburger',)",burgers,"('1611 N Vermont Ave',)","('90027',)"
"('77 Kentucky',)",chicken_wings,"('698 S Vermont Ave',)","('90005',)"
"('HanShik Express',)",korean,"('3959 Wilshire Blvd',)","('90010',)"
"(""Dave's Hot Chicken"",)",chickenshop,"('970 N Western Ave',)","('90029',)"
"('Twozone Chicken',)",chickenshop,"('3516 W 8th St',)","('90005',)"
"('Smashed Out',)",burgers,"('615 N Western Ave',)","('90004',)"
"('Jollibee',)",hotdogs,"('3821 Beverly Blvd',)","('90004',)"
"(""McDonald's"",)",hotdogs,"('695 S Western Ave',)","('90005',)"
"('Blue Bird Burgers',)",burgers,"('3601 W 3rd St',)","('90020',)"
"('Kalbis Grill',)",korean,"('3959 Wilshire Blvd',)","('90010',)"
"('Gol Tong Chicken',)",chicken_wings,"('361 S Western Ave',)","('90020',)"
"('Korea Town Pizza Company',)",pizza,"('3900 Wilshire Blvd',)","('90010',)"
"('Pollo a La Brasa Western',)",latin,"('764 S Western Ave',)","('90005',)"
"(""McDonald's"",)",burgers,"('1231 S La Brea Ave',)","('90019',)"
"(""Dino's Chicken and Burgers"",)",burgers,"('2575 W Pico Blvd',)","('90006',)"
"(""Chin's Hawaiian Teriyaki Bbq Chicken"",)",bbq,"('1708 S Western Ave',)","('90006',)"
"(""Papa's Chicken"",)",chicken_wings,"('3003 W Olympic Blvd',)","('90006',)"
"('Dogs Chicks',)",chicken_wings,"('1551 W 7th St',)","('90017',)"
"(""Dave's Hot Chicken"",)",chickenshop,"('3462 Wilshire Blvd',)","('90010',)"
"('Twozone Chicken',)",chicken_wings,"('450 S Western Ave',)","('90020',)"
"(""Witch's Chicken"",)",korean,"('3250 W Olympic Blvd',)","('90006',)"
"('El Cartel',)",mexican,"('5515 Wilshire Blvd',)","('90036',)"
"('Calif. Chicken Cafe',)",salad,"('6805 Melrose Ave',)","('90038',)"
"(""Stark's Hot Chicken"",)",chicken_wings,"('207 S Vermont Ave',)","('90004',)"
"(""Carl's Jr"",)",hotdogs,"('501S Western',)","('90020',)"
"('Jack in the Box',)",burgers,"('5201 Wilshire Blvd',)","('90036',)"
"(""Cassell's Hamburgers"",)",tradamerican,"('3600 W 6th St',)","('90020',)"
"('Jack in the Box',)",hotdogs,"('459 S Vermont Ave',)","('90020',)"
"('Five Guys',)",burgers,"('5550 Wilshire Blvd',)","('90036',)"
"(""Gus's World Famous Fried Chicken"",)",southern,"('1262 Crenshaw Blvd',)","('90019',)"
"('Two Hands Hotdog',)",hotdog,"('450 S Western Ave',)","('90020',)"
"('In-N-Out Burger',)",hotdogs,"('7009 Sunset Blvd',)","('90028',)"
"('Jack in the Box',)",hotdogs,"('6300 Santa Monica Blvd',)","('90038',)"
"('Wienerschnitzel',)",hotdog,"('3619 W Olympic Blvd',)","('90019',)"
"('Chicas Tacos',)",mexican,"('800 South La Brea Ave',)","('90036',)"
"(""Leo's Tacos Truck"",)",foodtrucks,"('1515 S La Brea Ave',)","('90019',)"
"('Chick-fil-A',)",hotdogs,"('6750 W Sunset Blvd',)","('90028',)"
"(""Pink's Hot Dogs"",)",hotdog,"('709 N La Brea Ave',)","('90038',)"
"(""Whistlin' Dixie"",)",chickenshop,"('1523 N La Brea Ave',)","('90028',)"
"('Taco Bell',)",hotdogs,"('103 S Rampart Blvd',)","('90057',)"
"(""Boo's Philly Cheesesteaks - Koreatown"",)",sandwiches,"('3377 Wilshire Blvd',)","('90010',)"
"('Taco Bell',)",hotdogs,"('3029 W 8th St',)","('90005',)"
"('Gokobol',)",asianfusion,"('4220 Beverly Blvd',)","('90004',)"
"('Chicken Day',)",chicken_wings,"('301 S Western Ave',)","('90020',)"
"('All About the Bread',)",sandwiches,"('7111 Melrose Ave',)","('90046',)"
"('Angry Chickz',)",southern,"('5065 Hollywood Blvd',)","('90027',)"
"('L.A Birria Pizza',)",pizza,"('2190 W Washington Bvld',)","('90018',)"
"('Taco Bell',)",hotdogs,"('6254 Lexington Avenue',)","('90038',)"
"('Brothers Sandwich Shop',)",sandwiches,"('3274 W 6th St',)","('90020',)"
"(""Fat Sal's Deli - Hollywood"",)",sandwiches,"('1300 N Highland Ave',)","('90028',)"
"(""Fatburger & Buffalo's Express"",)",burgers,"('3150 Wilshire Blvd',)","('90010',)"
"('77 Kentucky',)",chicken_wings,"('698 S Vermont Ave',)","('90005',)"
"('Jollibee',)",chickenshop,"('729 7th St',)","('90017',)"
"('Birdies',)",donuts,"('314 W Olympic Blvd',)","('90015',)"
"('Shake Shack',)",burgers,"('400 W 8th St',)","('90014',)"
"('California Hot Chicken',)",chickenshop,"('3335 S Figueroa St',)","('90007',)"
"(""Dave's Hot Chicken"",)",chickenshop,"('970 N Western Ave',)","('90029',)"
"('Tacos El Jefe',)",foodtrucks,"('2377 W Pico Blvd',)","('90006',)"
"(""Papa's Chicken"",)",chicken_wings,"('3003 W Olympic Blvd',)","('90006',)"
"(""Dave's Hot Chicken"",)",chickenshop,"('3462 Wilshire Blvd',)","('90010',)"
"('Caveman Kitchen',)",latin,"('2215 S Vermont Ave',)","('90007',)"
"('Chick-fil-A',)",hotdogs,"('660 S Figueroa St',)","('90017',)"
"('Twozone Chicken',)",chickenshop,"('3516 W 8th St',)","('90005',)"
"('Jack in the Box',)",hotdogs,"('1615 S Broadway',)","('90015',)"
"('The Kluckin Chicken',)",chickenshop,"('5022 Melrose Ave',)","('90038',)"
"(""Stark's Hot Chicken"",)",chicken_wings,"('207 S Vermont Ave',)","('90004',)"
"(""McDonald's"",)",hotdogs,"('201 W Washington Blvd',)","('90007',)"
"('Fixins Soul Kitchen - Los Angeles',)",soulfood,"('800 W Olympic Blvd',)","('90015',)"
"('Smashburger',)",burgers,"('1011 S Figueroa St',)","('90015',)"
"(""Chin's Hawaiian Teriyaki Bbq Chicken"",)",bbq,"('1708 S Western Ave',)","('90006',)"
"('Jollibee',)",hotdogs,"('3821 Beverly Blvd',)","('90004',)"
"('Guisados DTLA',)",mexican,"('541 S Spring St',)","('90013',)"
"(""Witch's Chicken"",)",korean,"('3250 W Olympic Blvd',)","('90006',)"
"(""Gus's World Famous Fried Chicken"",)",southern,"('1262 Crenshaw Blvd',)","('90019',)"
"('Chick-fil-A',)",hotdogs,"('3758 S Figueroa St',)","('90007',)"
"('Fatburger',)",tradamerican,"('888 S Figueroa St',)","('90017',)"
"(""Boo's Philly Cheesesteaks - Koreatown"",)",sandwiches,"('3377 Wilshire Blvd',)","('90010',)"
"('Gol Tong Chicken',)",chicken_wings,"('361 S Western Ave',)","('90020',)"
