Name,Type,Address,Zip Code
"(""McDonald's"",)",burgers,"('1676 Taylor Rd',)","('32128',)"
"('Circle K',)",convenience,"('3664 S Nova Rd',)","('32129',)"
"('Waffle House',)",breakfast_brunch,"('3200 S Atlantic Ave',)","('32118',)"
"(""Dustin's Bar-B-Q"",)",bbq,"('4908 Clyde Morris Blvd',)","('32129',)"
"(""Wendy's"",)",burgers,"('900 Dunlawton Blvd',)","('32127',)"
"('Dairy Queen',)",hotdogs,"('3817 Clyde Morris Blvd',)","('32129',)"
"('Our Deck Down Under',)",seafood,"('78 Dunlawton Ave',)","('32127',)"
"('The Cracked Egg',)",diners,"('3280 S Atlantic Ave',)","('32118',)"
"(""Long John Silver's"",)",seafood,"('2156 Ridgewood Ave',)","('32119',)"
"('Firehouse Subs',)",sandwiches,"('1844 S Ridgewood Ave',)","('32119',)"
"('Papa Johns Pizza',)",pizza,"('1760 Dunlawton Ave',)","('32127',)"
"(""Aunt Catfish's"",)",southern,"('4009 Halifax Dr',)","('32127',)"
"('Olive Garden Italian Restaurant',)",italian,"('5447 S Williamson Blvd',)","('32129',)"
"(""Jimmy John's"",)",sandwiches,"('3661 S Clyde Morris Blvd',)","('32129',)"
"(""Wendy's"",)",burgers,"('1959 S. Ridgewood Ave.',)","('32119',)"
"('Charleys Cheesesteaks and Wings',)",sandwiches,"('1101 Belville Rd',)","('32119',)"
"(""McKenna's Place"",)",seafood,"('3781 S Nova Rd',)","('32129',)"
"('Dairy Bar',)",icecream,"('55 Dunlawton Ave',)","('32127',)"
"('Papa Johns Pizza',)",pizza,"('1506 South Nova Road',)","('32114',)"
"('Taco Bell',)",mexican,"('1408 Beville Rd',)","('32114',)"
"(""Martini's Organic Restaurant"",)",seafood,"('1815 S Ridgewood Ave',)","('32119',)"
"(""McDonald's"",)",hotdogs,"('3802 Clyde Morris Blvd',)","('32119',)"
"(""Auntie Anne's"",)",pretzels,"('1590 Dunlawton Ave',)","('32127',)"
"('Circle K',)",convenience,"('1800 S Nova Rd',)","('32119',)"
"('A&W Restaurant',)",hotdogs,"('2156 Ridgewood Ave',)","('32119',)"
"(""Arby's"",)",hotdogs,"('1800 S Ridgewood Ave',)","('32119',)"
"(""McDonald's"",)",hotdogs,"('1121 Beville Rd',)","('32119',)"
"(""Culver's"",)",burgers,"('1744 Dunlawton Ave',)","('32127',)"
"('Subway',)",sandwiches,"('3781 N Nova Rd',)","('32129',)"
"(""McDonald's"",)",coffee,"('1101 Beville Rd',)","('32119',)"
"(""Steve's Famous Diner"",)",burgers,"('1584 S Nova Rd',)","('32114',)"
"('Pizza Hut',)",pizza,"('1500 Beville Rd',)","('32114',)"
"('Subway',)",sandwiches,"('3174 S Atlantic Ave E',)","('32118',)"
"('Goal Post Sandwich Shop',)",delis,"('3984 Herschel St',)","('32205',)"
"(""Wendy's"",)",burgers,"('2001 San Juan Ave',)","('32202',)"
"('Biscottis',)",tradamerican,"(""3556 St John's Ave"",)","('32205',)"
"(""Hardee's"",)",hotdogs,"('6852 Wilson Ave',)","('32210',)"
"('Hazelnut Grill',)",burgers,"(None,)","('32205',)"
"('Pizza Hut',)",pizza,"('940 Cassat Ave',)","('32205',)"
"('Super Wings & Philly',)",chicken_wings,"('6855 Wilson Blvd',)","('32210',)"
"(""Hardee's"",)",burgers,"('873 Lane Ave S',)","('32205',)"
"('Burger King',)",burgers,"('6785 Commonwealth Ave',)","('32254',)"
"('Tasty Seafood Chicken & Subs',)",sandwiches,"('1965 Lane Ave S',)","('32210',)"
"('Papa Johns Pizza',)",pizza,"('7200 Normandy Blvd',)","('32205',)"
"(""Captain D's"",)",seafood,"('6550 Normandy Blvd',)","('32205',)"
"(""McDonald's"",)",coffee,"('6546 Normandy Blvd',)","('32205',)"
"('Luna Food Store',)",hotdogs,"('511 Luna St',)","('32254',)"
"(""Wendy's"",)",burgers,"('7027 Commonwealth Avenue',)","('32220',)"
"(""Bono's Bar-B-Q"",)",bbq,"('705 Lane Ave S',)","('32205',)"
"('Subway',)",hotdogs,"('3 Shircliff Way',)","('32204',)"
"(""Wendy's"",)",hotdogs,"('7211 Normandy Blvd',)","('32205',)"
"('Burger King',)",burgers,"('637 N Edgewood Ave',)","('32254',)"
"(""Captain D's"",)",seafood,"('904 Edgewood Ave N',)","('32254',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('656 Edgewood Ave N',)","('32254',)"
"('China Joy 81',)",chinese,"('1650 Margaret St',)","('32204',)"
"(""McDonald's"",)",hotdogs,"('3552 Blanding Blvd',)","('32210',)"
"(""McDonald's"",)",coffee,"('6830 Normandy Blvd',)","('32205',)"
"('Burger King',)",burgers,"('4408 Blanding Blvd',)","('32210',)"
"('Pizza Hut',)",pizza,"('1020 N Edgewood Ave',)","('32254',)"
"('Wawa',)",coffee,"('6787 Wilson Blvd',)","('32210',)"
"(""Wendy's"",)",hotdogs,"('3624 Firestone Rd',)","('32210',)"
"('Papa Johns Pizza',)",pizza,"('1650 Margaret St',)","('32204',)"
"('Subway',)",sandwiches,"('6842 Wilson Blvd',)","('32210',)"
"(""McDonald's"",)",burgers,"('3750 W University Blvd',)","('32217',)"
"(""Wendy's"",)",hotdogs,"('1616 University Blvd S',)","('32216',)"
"('Mr. Taco',)",tex-mex,"('6426 Bowden Rd',)","('32216',)"
"(""McDonald's"",)",hotdogs,"('7116 Bonneval Rd',)","('32256',)"
"('Jenkins Quality Barbecue - Downtown',)",bbq,"('830 N Pearl St',)","('32202',)"
"('Papa Johns Pizza',)",pizza,"('3801 University Blvd W',)","('32216',)"
"('Chick- Fil- A',)",hotdogs,"('3814 University Blvd W',)","('32217',)"
"('Firehouse Subs',)",hotdogs,"('1620 Margaret Sr',)","('32204',)"
"('Hurricane Grill & Wings',)",chicken_wings,"('1615 Hendricks Ave',)","('32207',)"
"('Quiznos',)",hotdogs,"('4324 Atlantic Blvd',)","('32207',)"
"('Zoes Kitchen',)",greek,"('90 Riverside Ave',)","('32202',)"
"('Burger King',)",burgers,"('4948 University Blvd W',)","('32216',)"
"(""Jimmy John's"",)",sandwiches,"('630 Park St',)","('32204',)"
"('River & Post',)",lounges,"('1000 Riverside Ave',)","('32204',)"
"('Pizza Hut',)",pizza,"('1630 San Marco Blvd',)","('32207',)"
"('Village Bread Café',)",delis,"('4073 Phillips Hwy',)","('32207',)"
"(""Juliette's Bistro"",)",tradamerican,"('245 Water St',)","('32202',)"
"('Firehouse Subs',)",sandwiches,"('4347-1 University Blvd',)","('32216',)"
"(""Pepe's Hacienda & Restaurant"",)",mexican,"('3615 Dupont Ave',)","('32217',)"
"('Sandwich Palace & Subs',)",sandwiches,"('2940 University Blvd W',)","('32217',)"
"('Subway',)",sandwiches,"('1345 San Marco Blvd',)","('32207',)"
"('Subway',)",sandwiches,"('3428-2 Beach Blvd',)","('32207',)"
"(""McDonald's"",)",hotdogs,"('1001 N University Blvd',)","('32211',)"
"(""Woody's Bar-B-Q"",)",bbq,"('5930 Powers Ave',)","('32217',)"
"('Tunis Seafood, Wings & Subs',)",seafood,"('4309 University Blvd S',)","('32216',)"
"(""Woody's Bar-B-Q"",)",bbq,"('1638 University Blvd S',)","('32216',)"
"('China Joy 81',)",chinese,"('1650 Margaret St',)","('32204',)"
"('Pizza Hut',)",pizza,"('5844 Atlantic Blvd',)","('32207',)"
"('Papa Johns Pizza',)",pizza,"('1650 Margaret St',)","('32204',)"
"('Quiznos',)",hotdogs,"('101 W State St',)","('32202',)"
"(""Arby's"",)",hotdogs,"('5081 J TURNER BUTLER BLVD.',)","('32216',)"
"('Waffle House',)",diners,"('5067 J Turner Butler Blvd',)","('32216',)"
"('First Watch',)",breakfast_brunch,"('192 Riverside Ave',)","('32202',)"
"('Luna Food Store',)",hotdogs,"('511 Luna St',)","('32254',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('656 Edgewood Ave N',)","('32254',)"
"('Uptown Kitchen & Bar',)",breakfast_brunch,"('1303 N Main St',)","('32206',)"
"('Hook and Catch',)",seafood,"('3609 N Main St',)","('32206',)"
"('Quiznos',)",hotdogs,"('101 W State St',)","('32202',)"
"('First Watch',)",breakfast_brunch,"('192 Riverside Ave',)","('32202',)"
"('KFC',)",chicken_wings,"('8033 Normandy Blvd',)","('32221',)"
"(""Captain D's"",)",seafood,"('6740 103rd St',)","('32210',)"
"(""Wendy's"",)",burgers,"('6238 103Rd Street',)","('32210',)"
"('Circle K',)",servicestations,"('4856 Park St',)","('32205',)"
"(""McDonald's"",)",hotdogs,"('6767 103rd St',)","('32210',)"
"('KFC',)",hotdogs,"('1007 Lane Ave S',)","('32205',)"
"('Biscottis',)",tradamerican,"(""3556 St John's Ave"",)","('32205',)"
"('Taco Bell',)",mexican,"('7331 103rd Street',)","('32210',)"
"('Papa Johns Pizza',)",pizza,"('7200 Normandy Blvd',)","('32205',)"
"(""Larry's Giant Subs"",)",sandwiches,"('7895 Normandy Blvd',)","('32221',)"
"(""Wendy's"",)",hotdogs,"('7211 Normandy Blvd',)","('32205',)"
"(""Wendy's"",)",burgers,"('2001 San Juan Ave',)","('32202',)"
"('IHOP',)",breakfast_brunch,"('7940 103rd St',)","('32210',)"
"(""Hardee's"",)",burgers,"('873 Lane Ave S',)","('32205',)"
"('The Stout Snug',)",pubs,"('1190 Edgewood Ave S',)","('32205',)"
"('Subway',)",sandwiches,"('6842 Wilson Blvd',)","('32210',)"
"('Pizza Hut',)",pizza,"('7939 Normandy Blvd',)","('32221',)"
"(""Captain D's"",)",seafood,"('6550 Normandy Blvd',)","('32205',)"
"(""McDonald's"",)",coffee,"('6830 Normandy Blvd',)","('32205',)"
"(""McDonald's"",)",coffee,"('6546 Normandy Blvd',)","('32205',)"
"('Goal Post Sandwich Shop',)",delis,"('3984 Herschel St',)","('32205',)"
"(""McDonald's"",)",hotdogs,"('8029 Normandy Blvd',)","('32221',)"
"('Hazelnut Grill',)",burgers,"(None,)","('32205',)"
"('Pizza Hut',)",pizza,"('940 Cassat Ave',)","('32205',)"
"(""Church's Chicken"",)",chicken_wings,"('6037 Merrill Rd',)","('32277',)"
"(""McDonald's"",)",hotdogs,"('7245 Merrill Rd',)","('32277',)"
"(""Moe's Southwest Grill"",)",mexican,"('9301 Atlantic Blvd',)","('32225',)"
"('Pizza Hut',)",pizza,"('5844 Atlantic Blvd',)","('32207',)"
"('Secret Garden Cafe',)",cafes,"('10095 Beach Blvd',)","('32246',)"
"(""Auntie Anne's"",)",hotdogs,"('9501 Arlington Expy',)","('32225',)"
"('Ruby Tuesday',)",tradamerican,"('1022 Hospitality Lane',)","('32225',)"
