Name,Type,Address,Zip Code
"(""Guapo's Rotisserie Chicken & Tex Mex Grill"",)",tex-mex,"('8498 Centreville Rd',)","('20111',)"
"('KFC',)",hotdogs,"('10036 Dumfries Rd',)","('20110',)"
"(""Wendy's"",)",burgers,"('8989 Centreville Rd.',)","('20110',)"
"(""McDonald's"",)",hotdogs,"('10216 Dumfries Rd',)","('20111',)"
"('Mariachis Tequileria & Restaurant',)",mexican,"('9428 Battle St',)","('20110',)"
"('Clifton Cafe',)",coffee,"('7144 Main St',)","('20124',)"
"(""McDonald's"",)",burgers,"('9001 Centerville Rd',)","('20110',)"
"(""McDonald's"",)",hotdogs,"('9401 Liberia Ave',)","('20110',)"
"('Tropical Smoothie Cafe',)",juicebars,"('9958 Liberia Ave',)","('20110',)"
"('Pizza Time',)",pizza,"('9091 Mathis Ave',)","('20110',)"
"(""McDonald's"",)",hotdogs,"('9860 Liberia Ave',)","('20110',)"
"(""McDonald's"",)",hotdogs,"('8287 Shoppers Sq',)","('20111',)"
"('Papa Johns Pizza',)",pizza,"('10097 Market Circle Drive #2',)","('20110',)"
"(""Peterson's Ice Cream Depot"",)",icecream,"('7150 Main St',)","('20124',)"
"('Mi Tierra Deli',)",hotdogs,"('7422 Old Centreville Rd',)","('20111',)"
"(""Domino's Pizza"",)",pizza,"('8813 Centreville Rd',)","('20110',)"
"('Pizza Hut',)",pizza,"('8263 Shoppers Sq',)","('20111',)"
"('Taco Bell',)",hotdogs,"('10036 Dumfries Rd',)","('20110',)"
"('Mi Casita',)",mexican,"('8828 Centreville Rd',)","('20110',)"
"('Subway',)",sandwiches,"('8017 Centreville Rd',)","('20111',)"
"('Chicken Latino',)",hotdogs,"('14245 Centreville Sq',)","('20121',)"
"('The Habit Burger Grill',)",burgers,"('14385 Newbrook Dr',)","('20151',)"
"('Señor Ramon Taqueria',)",tacos,"('4500 Daly Dr',)","('20151',)"
"(""McDonald's"",)",hotdogs,"('5633 Stone Rd',)","('20120',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('5131 Westfields Blvd',)","('20120',)"
"('Firehouse Subs',)",hotdogs,"('14245-L Centreville Square',)","('20121',)"
"('Taco Bell',)",hotdogs,"('4418 Chantilly Place',)","('20151',)"
"(""McDonald's"",)",hotdogs,"('4424 Brookfield Corporate Dr',)","('20151',)"
"(""McDonald's"",)",burgers,"('5931 Fort Dr',)","('20120',)"
"(""Santini's New York Style Deli"",)",delis,"('3980 Corsair Ct',)","('20151',)"
"('Megabytes Eatery',)",delis,"('14100 Sullyfield Cir',)","('20151',)"
"('Five Guys',)",burgers,"('6017 Centreville Crest Ln',)","('20121',)"
"('Wingstop',)",chicken_wings,"('14215B Centreville Sq',)","('20121',)"
"('Bonchon Centreville',)",korean,"('14215-10 Centreville Sq',)","('20121',)"
"(""Jersey Mike's Subs"",)",delis,"('5005 Westone Plaza Blvd',)","('20151',)"
"(""Dave's Seafood & Subs"",)",sandwiches,"('4008 Walney Rd',)","('20153',)"
"(""Hangry Joe's Hot Chicken"",)",chickenshop,"('14215U Centreville Square',)","('20121',)"
