Name,Type,Address,Zip Code
"(""Captain D's"",)",seafood,"('309 E Main St',)","('37066',)"
"('Cracker Barrel Old Country Store',)",breakfast_brunch,"('1005 Village Green Crossing',)","('37066',)"
"('Sonic Drive-In',)",burgers,"('505 Hartsville Pike',)","('37066',)"
"('KFC',)",hotdogs,"('675 Nashville Pike',)","('37066',)"
"(""Jersey Mike's Subs"",)",delis,"('940 Memory Ln',)","('37066',)"
"(""McDonald's"",)",hotdogs,"('990 Greensboro Dr',)","('37066',)"
"(""O'Charley's Restaurant & Bar"",)",tradamerican,"('1009 Village Green Crossi',)","('37066',)"
"(""Garcia's Taqueria Sports Grill"",)",mexican,"('971 Memory Ln',)","('37066',)"
"('Panera Bread',)",salad,"('921 Nashville Pike',)","('37066',)"
"(""McDonald's"",)",hotdogs,"('402 W Main St',)","('37066',)"
"('Burger King',)",burgers,"('1112 Nashville Pike',)","('37066',)"
"('Papa Johns Pizza',)",pizza,"('226 West Broadway',)","('37066',)"
"('Los Cantaritos',)",mexican,"('1483 Nashville Pike',)","('37066',)"
"('Pizza Hut',)",pizza,"('1101 Nashville Pike',)","('37066',)"
"('Papa Johns Pizza',)",pizza,"('261 Indian Lake Blvd.',)","('37075',)"
"('Dairy Queen Grill & Chill',)",icecream,"('1023 Glenbrook Way',)","('37075',)"
"(""Moore's Spicy Fried Chicken"",)",chicken_wings,"('115 Walton Ferry Rd',)","('37075',)"
"('Music City Diner',)",tradamerican,"('102 Glen Oak Blvd',)","('37075',)"
"('Cracker Barrel Old Country Store',)",breakfast_brunch,"('213 Indian Lake Blvd',)","('37075',)"
"('Panera Bread',)",sandwiches,"('1037 Glenbrook Way',)","('37075',)"
"('Sonic Drive-In',)",hotdogs,"('279 New Shackle Island Rd',)","('37075',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('247 W Main St',)","('37075',)"
"('Sonic Drive-In',)",hotdogs,"('559 East Main St',)","('37075',)"
"(""Demos' Restaurant"",)",steak,"('161 Indian Lake Blvd',)","('37075',)"
"('Cafe Rakka',)",greek,"('71 New Shackle Island Rd',)","('37075',)"
"('Popeyes Louisiana kitchen',)",chickenshop,"('1000 Callender Ln',)","('37075',)"
"('Brixx Wood Fired Pizza + Craft Bar',)",pizza,"('300 Indian Lake Blvd',)","('37075',)"
"('Burger King',)",burgers,"('247 E Main St',)","('37075',)"
"('Greek Style Gyro',)",greek,"('793 W Main St',)","('37075',)"
"('Krystal',)",burgers,"('449 W Main St',)","('37075',)"
"(""Arby's"",)",hotdogs,"('435 W Main St',)","('37075',)"
"('Taco Bell',)",mexican,"('447 W Main St.',)","('37075',)"
"(""Captain D's"",)",seafood,"('317 W Main St',)","('37075',)"
"(""McDonald's"",)",hotdogs,"('305 New Shackle Island Rd',)","('37075',)"
"('Pizza Hut',)",pizza,"('170 E Main St',)","('37075',)"
"('KFC',)",hotdogs,"('322 W Main St',)","('37075',)"
"(""Chili's"",)",bars,"('218 Indian Lake Blvd',)","('37075',)"
"(""McDonald's"",)",hotdogs,"('393 W Main St',)","('37075',)"
"('Subway',)",sandwiches,"('102A Glen Oak Blvd',)","('37075',)"
"('Hickory Falls Wood-Fired Grille & Bar',)",tradamerican,"('999 Industrial Blvd',)","('37167',)"
"('First Watch',)",breakfast_brunch,"('450 Sam Ridley Pkwy',)","('37167',)"
"(""Captain D's"",)",seafood,"('263 N Lowry St',)","('37167',)"
"('Blue Coast Burrito',)",mexican,"('635 President Pl',)","('37167',)"
"('Burger King',)",burgers,"('833 Industrial Blvd',)","('37167',)"
"(""McDonald's"",)",burgers,"('345 N Lowry St',)","('37167',)"
"('Margarita House',)",mexican,"('145 N Lowry St',)","('37167',)"
"('Inglewood Lounge',)",lounges,"('3914 Gallatin Pike',)","('37216',)"
"(""Logan's Roadhouse"",)",bbq,"('2506 Music Valley Dr',)","('37214',)"
"(""Fazoli's"",)",italian,"('1847 Gallatin Pike North',)","('37115',)"
"('Sonic Drive-In',)",hotdogs,"('1410 Robinson Rd',)","('37138',)"
"(""McDonald's"",)",coffee,"('906 Two Mile Pkwy',)","('37072',)"
"('Sonic Drive-In',)",burgers,"('1565 North Gallatin Pike',)","('37115',)"
"('Opry Backstage Grill',)",tradamerican,"('2401 Music Valley Dr',)","('37214',)"
